source_id,source_id_edr3,in_SetA,in_SetB,n_cdips_sector,period,lspval,nequal,nclose,nfaint,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,subcluster,in_CG18,in_KC19,in_M21,(Bp-Rp)_0,is_phot_bin,is_astrm_bin,ruwe,Li_EW_mA_GaiaESO,Li_EW_mA_perr_GaiaESO,Li_EW_mA_merr_GaiaESO,Li_EW_mA_GALAH,Li_EW_mA_perr_GALAH,Li_EW_mA_merr_GALAH
5290689222302540928,5290689222302540928,1,1,7,0.2506,0.1548,0,1,1,118.3840181136,-61.1479094273,2015.5,2.454,0.047,-4.058,11.493,16.57,17.856,15.449,,,core,1,1,1,2.272,1,0,1.041,-8.1,20.0,20.0,,,
5290817281048004736,5290817281048004736,1,1,4,4.1891,0.6102,0,1,1,119.8058028322,-60.6732812635,2015.5,2.412,0.014,-5.735,10.849,13.411,13.846,12.82,21.26,9.52,core,1,1,0,0.891,0,0,1.005,149.2,5.0,5.0,,,
5488047470677553024,5488047470677553024,1,1,2,7.7892,0.2252,0,1,1,114.4648772261,-55.4504775635,2015.5,1.981,0.024,-3.631,9.624,15.121,15.725,14.388,,,halo,0,1,0,1.203,0,0,0.983,,,,,,
5277268995690013312,5277268995690013312,1,1,5,0.4027,0.4187,0,1,1,124.2564006357,-63.7840748267,2015.5,3.329,0.028,-7.233,14.116,14.723,15.457,13.885,,,halo,0,1,0,1.439,0,0,0.984,,,,,,
5290765947599154048,5290765947599154048,1,1,7,0.412,0.286,0,1,1,120.068596643,-60.7708247738,2015.5,2.477,0.03,-4.783,11.765,15.678,16.477,14.789,,,core,1,1,1,1.554,0,0,0.971,65.3,5.3,8.6,,,
5289848370783668096,5289848370783668096,1,1,5,2.1729,0.5117,0,1,1,118.5651962476,-62.0650149627,2015.5,2.46,0.017,-5.922,12.222,14.134,14.669,13.456,,,halo,0,1,0,1.079,0,0,1.075,,,,,,
5291187365490141440,5291187365490141440,1,1,4,0.6331,0.218,0,1,1,121.596664126,-60.0431818156,2015.5,2.349,0.019,-5.426,9.566,12.289,12.635,11.782,19.14,1.78,halo,0,1,0,0.718,1,0,1.164,,,,,,
5275983322999922816,5275983322999922816,1,1,8,4.2191,0.489,0,1,2,124.4012234355,-65.9723911088,2015.5,3.164,0.024,-8.008,14.894,15.228,16.058,14.336,,,halo,0,1,0,1.587,0,0,0.975,,,,,,
5295178047240645888,5295178047240645888,1,1,5,9.2855,0.1888,0,1,1,115.4466475868,-58.4859394133,2015.5,2.763,0.044,-6.22,13.814,16.432,17.483,15.4,,,halo,0,1,0,1.948,0,0,0.976,,,,,,
5488647391711178752,5488647391711178752,1,1,2,1.8368,0.4152,0,1,1,118.1784354573,-53.7995022546,2015.5,2.226,0.021,-4.088,9.715,12.829,13.212,12.286,,,halo,0,1,1,0.791,1,0,0.98,,,,,,
5275851038006600192,5275851038006600192,1,1,10,2.3541,0.5308,0,1,1,119.1314069028,-64.4952878232,2015.5,2.697,0.029,-4.607,13.764,15.453,16.243,14.58,,,halo,0,1,0,1.529,0,0,1.025,,,,,,
5294440309298599168,5294440309298599168,1,1,3,0.222,0.73,0,1,2,118.6047096252,-58.4107791889,2015.5,2.051,0.028,-4.368,9.357,15.69,16.439,14.847,,,halo,0,1,1,1.458,0,0,1.001,,,,,,
5290709357109480704,5290709357109480704,1,1,7,1.7936,0.0969,0,1,1,118.9053541606,-61.151790303,2015.5,2.543,0.021,-5.152,11.977,12.3,12.658,11.777,24.21,1.96,core,1,1,1,0.747,1,0,1.056,97.7,5.0,5.0,,,
5290669873469360512,5290669873469360512,1,1,7,2.3888,0.2118,0,1,2,119.413059375,-61.0359125414,2015.5,2.467,0.02,-4.367,11.109,12.6,12.964,12.07,24.96,2.34,core,1,1,1,0.76,0,0,0.928,62.0,5.0,5.0,,,
5290769589731340160,5290769589731340160,1,1,6,7.8898,0.2237,0,1,1,120.0542812433,-60.6960701165,2015.5,2.383,0.027,-4.105,11.492,15.473,16.211,14.614,,,core,1,1,0,1.462,0,0,0.979,28.0,7.9,5.0,,,
5289995494884385280,5289995494884385280,1,1,6,1.7535,0.2727,0,1,1,120.4170221312,-61.0783690357,2015.5,2.469,0.028,-4.492,11.588,12.546,12.885,12.04,,,core,1,1,1,0.711,0,0,1.019,,,,,,
5290069578780607616,5290069578780607616,1,1,6,6.2955,0.3228,0,1,2,123.4613398736,-61.4345691506,2015.5,2.401,0.016,-5.663,10.718,14.03,14.525,13.392,,,halo,0,1,1,0.999,0,0,1.014,,,,,,
5294103991880618240,5294103991880618240,1,1,3,3.7848,0.4341,0,1,1,118.0042226795,-59.1873149673,2015.5,2.373,0.013,-3.988,10.883,13.253,13.678,12.671,,,halo,0,1,1,0.873,0,0,0.958,,,,,,
5290822572447442176,5290822572447442176,1,1,4,0.6783,0.1678,0,1,1,119.6822806598,-60.5490430492,2015.5,2.255,0.025,-5.818,11.518,12.42,12.842,11.839,31.06,1.91,halo,0,1,0,0.87,1,1,2.974,129.5,5.0,5.0,,,
5291074017011442176,5291074017011442176,1,1,5,4.2499,0.1695,0,1,1,120.5857814805,-59.6324154359,2015.5,2.321,0.02,-5.128,11.062,12.203,12.606,11.643,28.15,1.54,halo,0,1,1,0.828,1,1,1.254,,,,,,
5290622117734044416,5290622117734044416,1,1,5,6.9406,0.1383,0,1,1,118.3529087584,-61.6582158011,2015.5,2.415,0.018,-3.881,11.362,14.449,15.023,13.74,,,halo,0,1,1,1.148,0,0,1.052,,,,,,
5290904451701850496,5290904451701850496,1,1,7,10.3708,0.1344,0,1,2,117.5514593338,-60.884048512,2015.5,2.381,0.033,-4.021,11.511,15.364,16.114,14.528,,,core,1,1,1,1.452,0,0,1.056,,,,,,
5276451989831332864,5276451989831332864,1,1,1,2.9381,0.5782,0,1,1,125.3417029005,-64.10975005,2015.5,2.421,0.022,-6.766,11.17,12.77,13.13,12.255,25.22,4.44,halo,0,1,1,0.74,0,0,1.054,,,,,,
5289886407013890688,5289886407013890688,1,1,6,0.1413,0.1138,0,1,2,119.7344958816,-61.5201005285,2015.5,2.431,0.06,-4.273,10.903,16.797,17.904,15.742,,,core,1,1,0,2.028,0,0,1.058,,,,,,
5488253079353153152,5488253079353153152,1,1,2,2.0287,0.8138,0,1,1,117.8893766421,-55.221273023,2015.5,1.565,0.015,-3.316,7.062,13.656,14.026,13.125,,,halo,0,1,0,0.767,0,0,0.89,,,,,,
5290944102840256768,5290944102840256768,1,1,6,0.508,0.3714,0,1,1,118.324945427,-60.3956417983,2015.5,2.407,0.031,-3.075,11.386,11.416,11.675,11.012,21.66,2.44,core,1,1,0,0.529,0,0,0.897,,,,-1.5,9.2,5.0
5290097272729673344,5290097272729673344,1,1,4,7.1007,0.4593,0,1,1,123.8129273306,-61.1699989896,2015.5,2.38,0.093,-5.539,11.201,13.731,14.266,13.054,,,halo,0,1,0,1.078,1,1,5.514,,,,,,
5291030448862535808,5291030448862535808,1,1,5,2.0034,0.5405,0,1,1,119.2393722577,-60.298828099,2015.5,2.408,0.021,-4.145,11.069,12.354,12.675,11.876,27.01,2.56,core,1,1,1,0.665,0,0,0.962,102.3,5.0,5.0,,,
